code	ds_type	idx	max_v	min_v	name	node	node_id	node_idx	price
3779320556722061313	demand	764	0.0	0.0	A00001203	A00000716	210	3779318278174801920	15045.87
3779320556726255616	demand	765	0.0	0.0	A00001203	A00000716	210	3779318278174801920	15045.87
3779320556726255617	demand	766	0.0	0.0	A00001204	A00000716	210	3779318278174801920	15045.87
3779320556726255618	demand	767	3.465633	3.465633	A00001205	A00000716	210	3779318278174801920	15045.87
3779320556730449920	demand	768	150.1702	150.1702	A00001206	A00000716	210	3779318278174801920	16880.73
3779320556730449921	demand	769	0.0	0.0	A00000715	A00000716	210	3779318278174801920	16880.73
3779320556730449922	demand	770	0.0	0.0	A00000715	A00000716	210	3779318278174801920	16880.73
3779320556734644224	demand	771	0.0	0.0	A00001207	A00000716	210	3779318278174801920	11192.66
3779319482216873984	demand	816	48.0	48.0	A00001243	A00001244	201	3779318278116081664	11110.0
3779319482216873985	demand	817	115.0	115.0	A00001245	A00001244	201	3779318278116081664	15045.87
3779319482216873986	demand	818	0.0	0.0	A00001246	A00001244	201	3779318278116081664	15045.87
3779319482221068288	demand	819	0.0	0.0	A00001247	A00001244	201	3779318278116081664	15045.87
3779319482221068289	demand	820	0.0	0.0	A00001248	A00001244	201	3779318278116081664	15045.87
3779319475262717952	demand	838	24.0	24.0	A00001266	A00001267	635	3779318281077260288	11110.0
3779319475262717953	demand	839	12.0	12.0	A00001268	A00001267	635	3779318281077260288	16880.73
3779319475266912256	demand	840	0.0	0.0	A00001269	A00001267	635	3779318281077260288	16880.73
3779319475266912257	demand	841	0.0	0.0	A00001270	A00001267	635	3779318281077260288	16880.73
3779319475266912258	demand	842	0.0	0.0	A00001271	A00001267	635	3779318281077260288	17064.22
3779319475271106560	demand	843	0.0	0.0	A00001272	A00001267	635	3779318281077260288	17064.22
3779319475271106561	demand	844	0.0	0.0	A00001273	A00001267	635	3779318281077260288	17064.22
3779319475271106562	demand	845	0.0	0.0	A00001274	A00001267	635	3779318281077260288	17064.22
3779319490995552256	demand	846	165.0	165.0	A00001275	A00001276	634	3779318281073065984	11110.0
3779319490999746560	demand	847	69.83870999999999	69.83870999999999	A00001277	A00001276	634	3779318281073065984	9449.541
3779319490999746561	demand	848	0.0	0.0	A00001278	A00001276	634	3779318281073065984	0.0
3779319490999746562	demand	849	0.0	0.0	A00001279	A00001276	634	3779318281073065984	0.0
3779319491003940864	demand	850	0.0	0.0	A00001280	A00001276	634	3779318281073065984	0.0
3779319491003940865	demand	851	0.0	0.0	A00001281	A00001276	634	3779318281073065984	0.0
