code	ds_type	idx	max_v	min_v	name	node	node_id	node_idx	price
3779320502175137792	demand	725	0.0	0.0	A00001135	A00001149	505	3779318280204845056	14587.16
3779320502175137793	demand	726	0.0	0.0	A00001148	A00001149	505	3779318280204845056	14587.16
3779320505408946176	demand	727	0.0	0.0	A00001135	A00001150	514	3779318280267759616	14587.16
3779320507195719680	demand	728	0.0	0.0	A00001135	A00001151	515	3779318280271953920	14587.16
3779320510320476160	demand	729	116.0462	116.0462	A00001152	A00001153	513	3779318280259371008	14587.16
3779320512065306624	demand	730	0.0	0.0	A00001154	A00001155	512	3779318280255176704	14587.16
3779320513495564288	demand	731	1.6733060000000002	1.6733060000000002	A00001156	A00001157	511	3779318280246788096	14587.16
3779320515148120064	demand	732	0.0	0.0	A00001158	A00001159	509	3779318280230010880	14587.16
3779320518000246784	demand	733	1.279714	1.279714	A00001160	A00001161	502	3779318280179679232	14587.16
3779320519480836096	demand	734	42.41422	42.41422	A00001162	A00001163	500	3779318280162902016	14587.16
3779320519480836097	demand	735	0.0	0.0	A00001164	A00001163	500	3779318280162902016	14587.16
3779320521150169088	demand	736	3.5512080000000004	3.5512080000000004	A00001165	A00001166	497	3779318280146124800	14587.16
3779320522651729920	demand	737	0.994698	0.994698	A00001167	A00001168	540	3779318280448114688	14587.16
3779320525617102848	demand	738	3.6182809999999996	3.6182809999999996	A00001169	A00001170	506	3779318280209039360	14587.16
3779320553328869376	demand	745	12.41545	12.41545	A00001183	A00001184	530	3779318280381005824	14587.16
3779320553328869377	demand	746	0.0	0.0	A00001185	A00001184	530	3779318280381005824	14587.16
3779320553328869378	demand	747	2974.5409999999997	2974.5409999999997	A00001186	A00001184	530	3779318280381005824	14036.7
3779320553333063680	demand	748	0.0	0.0	A00001187	A00001184	530	3779318280381005824	14036.7
3779320553333063681	demand	749	0.0	0.0	A00001188	A00001184	530	3779318280381005824	14036.7
3779320553333063682	demand	750	0.0	0.0	A00001189	A00001184	530	3779318280381005824	14036.7
3779320553337257984	demand	751	0.0	0.0	A00001190	A00001184	530	3779318280381005824	14036.7
