code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319532531744768	demand	11.14323	11.14323	A00000050	A00000048	3779318277575016448	16880.73	0	36	120	XSDB0005	10007		CS000001	ZDGN0071	PROV0012	2.0	null	null	null
3779319532531744769	demand	0.0	0.0	A00000051	A00000048	3779318277575016448	16880.73	0	37	120	XSDB0005	10001		CS000001	ZDGN0071	PROV0012	2.0	null	null	null
3779319534452736000	demand	564.0859	564.0859	A00000052	A00000053	3779318277818286080	17064.22	0	38	156	XSBF0001	10001		CS000001	ZDGN0076	PROV0001	2.0	null	null	null
3779319536109486080	demand	0.0	0.0	A00000054	A00000055	3779318277822480384	17064.22	0	39	157	XSBF0001	10001		CS000001	ZDGN0077	PROV0001	2.0	null	null	null
3779319536109486081	demand	0.0	0.0	A00000056	A00000055	3779318277822480384	17064.22	0	40	157	XSBF0002	10001		CS000001	ZDGN0077	PROV0002	2.0	null	null	null
3779319537791401984	demand	132.0979	132.0979	A00000057	A00000058	3779318277805703168	17064.22	0	41	154	XSBF0001	10001		CS000001	ZDGN0080	PROV0001	2.0	null	null	null
3779319539368460288	demand	1620.851	1620.851	A00000059	A00000060	3779318277759565824	17064.22	0	42	147	XSBF0001	10001		CS000001	ZDGN0092	PROV0001	2.0	null	null	null
3779319541578858496	demand	0.0	0.0	A00000061	A00000062	3779318277763760128	17064.22	0	43	148	XSBF0001	10001		CS000001	ZDGN0093	PROV0001	2.0	null	null	null
3779319543038476288	demand	14.17904	14.17904	A00000063	A00000064	3779318277738594304	17064.22	0	44	144	XSBF0001	10001		CS000001	ZDGN0100	PROV0001	2.0	null	null	null
3779319545185959936	demand	394.8356	394.8356	A00000065	A00000066	3779318277746982912	17064.22	0	45	145	XSBF0001	10001		CS000001	ZDGN0101	PROV0001	2.0	null	null	null
3779319547195031552	demand	282.478205	282.478205	A00000067	A00000068	3779318277776343040	17064.22	0	46	150	XSBF0001	10001		CS000001	ZDGN0108	PROV0001	2.0	null	null	null
3779319549174743040	demand	237.0781	237.0781	A00000069	A00000070	3779318277793120256	17064.22	0	47	152	XSBF0001	10001		CS000001	ZDGN0550	PROV0001	2.0	null	null	null
3779319553549402112	demand	1149.863	1149.863	A00000071	A00000072	3779318277830868992	17064.22	0	48	158	XSBF0001	10001		CS000001	ZDGN0551	PROV0001	2.0	null	null	null
3779319556028235776	demand	270.5409	270.5409	A00000073	A00000074	3779318277809897472	17064.22	0	49	155	XSBF0001	10001		CS000001	ZDGN0553	PROV0001	2.0	null	null	null
3779319557722734592	demand	2165.788	2165.788	A00000075	A00000076	3779318277751177216	17064.22	0	50	146	XSBF0001	10001		CS000001	ZDGN0555	PROV0001	2.0	null	null	null
3779319560130265088	demand	0.025456	0.025456	A00000077	A00000078	3779318279898660864	18715.6	0	51	463	XSFJ0001	10001		CS000001	ZDGN0345	PROV0030	2.0	null	null	null
3779319561627631616	demand	0.0	0.0	A00000079	A00000080	3779318279907049472	18715.6	0	52	464	XSFJ0001	10002		CS000001	ZDGN0346	PROV0030	2.0	null	null	null
3779319563015946240	demand	3.750559	3.750559	A00000081	A00000082	3779318279915438080	18715.6	0	53	465	XSFJ0001	10001		CS000001	ZDGN0347	PROV0030	2.0	null	null	null
3779319565578665984	demand	4.045355	4.045355	A00000083	A00000084	3779318279919632384	18715.6	0	54	466	XSFJ0001	10001		CS000001	ZDGN0348	PROV0030	2.0	null	null	null
3779319567818424320	demand	83.04057	83.04057	A00000085	A00000086	3779318279928020992	18715.6	0	55	467	XSFJ0001	10001		CS000001	ZDGN0349	PROV0030	2.0	null	null	null
3779319571031261184	demand	1.622612	1.622612	A00000087	A00000088	3779318279948992512	18715.6	0	56	470	XSFJ0001	10001		CS000001	ZDGN0352	PROV0030	2.0	null	null	null
3779319571035455488	demand	0.0	0.0	A00000089	A00000088	3779318279948992512	16697.25	0	57	470	XSNF0002	10001		CS000001	ZDGN0352	PROV0023	2.0	null	null	null
3779319572469907456	demand	145.4588	145.4588	A00000090	A00000091	3779318280892710912	12018.35	0	58	607	XSXB0002	10001		CS000001	ZDGN0199	PROV0015	2.0	null	null	null
3779319575766630400	demand	4.052728	4.052728	A00000092	A00000093	3779318280884322304	12018.35	0	59	606	XSXB0002	10001		CS000001	ZDGN0201	PROV0015	2.0	null	null	null
3779319578102857728	demand	0.0	0.0	A00000094	A00000095	3779318280867545088	12018.35	0	60	603	XSXB0002	10001		CS000001	ZDGN0214	PROV0015	2.0	null	null	null
3779319579965128704	demand	0.0	0.0	A00000096	A00000097	3779318280850767872	12018.35	0	61	601	XSXB0002	10001		CS000001	ZDGN0215	PROV0015	2.0	null	null	null
3779319579969323008	demand	0.0	0.0	A00000098	A00000097	3779318280850767872	12018.35	0	62	601	XSXB0002	10002		CS000001	ZDGN0215	PROV0015	2.0	null	null	null
3779319579969323009	demand	11.50642	11.50642	A00000099	A00000097	3779318280850767872	10550.46	0	63	601	XSXB0003	10001		CS000001	ZDGN0215	PROV0016	2.0	null	null	null
3779319582141972480	demand	5.607692	5.607692	A00000100	A00000101	3779318280909488128	12018.35	0	64	610	XSXB0002	10001		CS000001	ZDGN0216	PROV0015	2.0	null	null	null
3779319582146166784	demand	0.0	0.0	A00000102	A00000101	3779318280909488128	12018.35	0	65	610	XSXB0002	10002		CS000001	ZDGN0216	PROV0015	2.0	null	null	null
3779319585199620096	demand	107.706	107.706	A00000103	A00000104	3779318280926265344	12018.35	0	66	612	XSXB0002	10001		CS000001	ZDGN0217	PROV0015	2.0	null	null	null
