name	code	has_compressor	comp_ratio	pressure_upper	pressure_lower	lowest_temp	highest_temp	elevation	A00001516	A00001517	sub_division	valve	idx
A00001340	3779318277159780352	A00001685	1.4	9.85	4.0	0.0	20.0	1416.0	A00001686	A00001687	0		59
A00001688	3779318277163974656	A00001689	1.4	11.85	6.0	0.0	20.0	1625.0	A00001690	A00001691	0		60
A00000126	3779318277172363264	A00001692	1.4	11.85	6.0	0.0	20.0	1625.0	A00001693	A00001694	0		61
A00001343	3779318277180751872	A00001695	1.4	9.85	4.0	0.0	20.0	1867.0	A00001696	A00001697	0		62
A00000135	3779318277189140480		1.4	9.85	4.0	0.0	20.0	1416.0	A00001698	A00001699	0		63
A00001700	3779318277193334784	A00001701	1.4	11.85	6.0	0.0	20.0	1458.0	A00001702	A00001703	0		64
A00000128	3779318277201723392	A00001704	1.4	11.85	6.0	0.0	20.0	1458.0	A00001705	A00001706	0		65
A00001346	3779318277205917696		1.4	9.85	4.0	0.0	20.0	1437.0	A00001707	A00001708	0		66
A00001709	3779318277214306304	A00001710	1.4	11.85	6.0	0.0	20.0	2269.0	A00001711	A00001712	0		67
A00001713	3779318277218500608	A00001714	1.4	11.85	6.0	0.0	20.0	2269.0	A00001715	A00001716	0		68
A00000131	3779318277226889216		1.4	11.85	6.0	0.0	20.0	1458.0	A00001717	A00001718	0		69
A00000162	3779318277231083520		1.4	6.0	1.5	0.0	20.0	1935.0	A00001719	A00001720	0		70
A00001352	3779318277239472128	A00001721	1.4	9.85	4.0	0.0	20.0	1842.0	A00001722	A00001723	0		71
A00001409	3779318277243666432	A00001724	1.4	11.85	6.0	0.0	20.0	1838.0	A00001725	A00001726	0		72
A00001727	3779318277252055040	A00001728	1.4	11.85	6.0	0.0	20.0	1838.0	A00001729	A00001730	0		73
A00001355	3779318277256249344	A00001731	1.4	9.85	4.0	0.0	20.0	1856.0	A00001732	A00001733	0		74
A00001349	3779318277264637952	A00001734	1.4	9.85	4.0	0.0	20.0	1920.0	A00001735	A00001736	0		75
A00000133	3779318277268832256		1.4	11.85	6.0	0.0	20.0	1663.0	A00001737	A00001738	0		76
A00001739	3779318277277220864		1.4	11.85	6.0	0.0	20.0	1256.0	A00001740	A00001741	0		77
A00000816	3779318277285609472		1.4	11.85	6.0	0.0	20.0	1256.0	A00001742	A00001743	0		78
A00001358	3779318277293998080	A00001744	1.4	9.85	4.0	0.0	20.0	1247.0	A00001745	A00001746	0		79
A00001747	3779318277306580992		1.4	9.85	4.0	0.0	20.0	1250.0	A00001748	A00001749	1		80
A00001750	3779318277310775296		1.4	11.85	6.0	0.0	20.0	1686.0	A00001751	A00001752	0		81
A00001753	3779318277319163904		1.4	6.0	2.5	0.0	20.0	1647.0	A00001754	A00001755	0		82
A00001756	3779318277327552512		1.4	11.85	6.0	0.0	20.0	1686.0	A00001757	A00001758	0		83
A00001759	3779318277331746816		1.4	11.85	6.0	0.0	20.0	1686.0	A00001760	A00001761	0		84
A00000829	3779318277340135424		1.4	9.85	4.0	0.0	20.0	1682.0	A00001762	A00001763	0		85
A00001764	3779318277344329728	A00001765	1.4	11.85	6.0	0.0	20.0	1572.0	A00001766	A00001767	0		86
A00000826	3779318277352718336	A00001768	1.4	9.85	4.0	0.0	20.0	1572.0	A00001769	A00001770	0		87
A00001042	3779318277356912640	A00001771	1.4	9.85	4.0	0.0	20.0	1536.0	A00001772	A00001773	0		88
A00000820	3779318277365301248		1.4	9.85	4.0	0.0	20.0	1342.0	A00001774	A00001775	0		89
A00001776	3779318277373689856		1.4	9.85	4.0	0.0	20.0	1193.0	A00001777	A00001778	0		90
A00000822	3779318277382078464		1.4	9.85	4.0	0.0	20.0	1347.0	A00001779	A00001780	0		91
A00001781	3779318277386272768		1.4	11.85	6.0	0.0	20.0	1333.0	A00001782	A00001783	0		92
A00001784	3779318277394661376		1.4	9.85	4.0	0.0	20.0	1333.0	A00001785	A00001786	0		93
A00001373	3779318277403049984	A00001787	1.4	9.85	4.0	0.0	20.0	1325.0	A00001788	A00001789	0		94
A00001790	3779318277407244288	A00001791	1.4	9.85	4.0	0.0	20.0	1329.0	A00001792	A00001793	0		95
A00001794	3779318277415632896	A00001795	1.4	9.85	4.0	0.0	20.0	1464.0	A00001796	A00001797	0		96
A00000854	3779318277419827200	A00001798	1.4	9.85	4.0	0.0	20.0	1187.0	A00001799	A00001800	0		97
A00001015	3779318277428215808		1.4	6.0	2.5	0.0	20.0	1182.0	A00001801	A00001802	0		98
A00000991	3779318277432410112		1.4	9.85	4.0	0.0	20.0	1187.0	A00001803	A00001804	0		99
A00001805	3779318277440798720	A00001806	1.4	9.85	4.0	0.0	20.0	914.0	A00001807	A00001808	0		100
A00001024	3779318277444993024		1.4	9.85	4.0	0.0	20.0	1188.0	A00001809	A00001810	0		101
A00001020	3779318277453381632		1.4	6.0	2.5	0.0	20.0	934.0	A00001811	A00001812	0		102
A00001016	3779318277461770240		1.4	6.0	2.5	0.0	20.0	1127.0	A00001813	A00001814	0		103
A00001018	3779318277465964544		1.4	6.0	2.5	0.0	20.0	1127.0	A00001815	A00001816	0		104
A00001022	3779318277470158848	A00001817	1.4	6.0	2.5	0.0	20.0	1087.0	A00001818	A00001819	0		105
A00000985	3779318277478547456		1.4	6.0	2.5	0.0	20.0	1527.0	A00001820	A00001821	0		106
A00000987	3779318277486936064		1.4	6.0	2.5	0.0	20.0	1074.0	A00001822	A00001823	0		107
A00000265	3779318277491130368	A00001824	1.4	6.0	2.5	0.0	20.0	1028.0	A00001825	A00001826	0		108
A00000989	3779318277499518976	A00001827	1.4	6.0	2.5	0.0	20.0	943.0	A00001828	A00001829	0		109
A00001830	3779318277507907584		1.4	6.0	2.5	0.0	20.0	41.0	A00001831	A00001832	0		110
A00000268	3779318277516296192		1.4	6.0	2.5	0.0	20.0	41.0	A00001833	A00001834	0		111
A00000038	3779318277520490496		1.4	6.0	2.5	0.0	20.0	40.0	A00001835	A00001836	0		112
A00000993	3779318277528879104		1.4	9.85	4.0	0.0	20.0	1233.0	A00001837	A00001838	0		113
A00000996	3779318277533073408	A00001839	1.4	9.85	4.0	0.0	20.0	993.0	A00001840	A00001841	0		114
A00000999	3779318277541462016		1.4	9.85	4.0	0.0	20.0	954.0	A00001842	A00001843	0		115
A00000272	3779318277549850624		1.4	9.85	4.0	0.0	20.0	88.0	A00001844	A00001845	0		116
A00000276	3779318277554044928		1.4	9.85	4.0	0.0	20.0	88.0	A00001846	A00001847	0		117
A00000279	3779318277562433536		1.4	9.85	4.0	0.0	20.0	70.0	A00001848	A00001849	0		118
A00000043	3779318277566627840	A00001850	1.4	9.85	4.0	0.0	20.0	61.0	A00001851	A00001852	0		119
A00000048	3779318277575016448	A00001853	1.4	9.85	4.0	0.0	20.0	25.0	A00001854	A00001855	0		120
A00000282	3779318277583405056		1.4	9.85	4.0	0.0	20.0	7.0	A00001856	A00001857	0		121
A00000383	3779318277587599360		1.4	9.85	4.0	0.0	20.0	7.0	A00001858	A00001859	0		122
A00000285	3779318277595987968		1.4	9.85	4.0	0.0	20.0	1.0	A00001860	A00001861	0		123
A00000297	3779318277600182272		1.4	9.85	4.0	0.0	20.0	4.0	A00001862	A00001863	0		124
A00000287	3779318277608570880		1.4	9.85	4.0	0.0	20.0	8.0	A00001864	A00001865	0		125
A00001078	3779318277612765184		1.4	9.85	4.0	0.0	20.0	2.0	A00001866	A00001867	0		126
A00001080	3779318277621153792		1.4	9.85	4.0	0.0	20.0	3.0	A00001868	A00001869	0		127
A00001069	3779318277625348096		1.4	9.85	4.0	0.0	20.0	2.0	A00001870	A00001871	0		128
A00000294	3779318277633736704		1.4	9.85	4.0	0.0	20.0	30.0	A00001872	A00001873	0		129
A00000270	3779318277642125312		1.4	6.0	2.5	0.0	20.0	32.0	A00001874	A00001875	0		130
A00001001	3779318277646319616	A00001876	1.4	9.85	4.0	0.0	20.0	1164.0	A00001877	A00001878	0		131
A00001004	3779318277654708224	A00001879	1.4	9.85	4.0	0.0	20.0	986.0	A00001880	A00001881	0		132
A00001007	3779318277658902528		1.4	9.85	4.0	0.0	20.0	1254.0	A00001882	A00001883	0		133
A00000301	3779318277667291136		1.4	9.85	4.0	0.0	20.0	398.0	A00001884	A00001885	0		134
A00001886	3779318277675679744	A00001887	1.4	9.85	4.0	0.0	20.0	58.0	A00001888	A00001889	0		135
A00001363	3779318277684068352	A00001890	1.4	9.85	4.0	0.0	20.0	1327.0	A00001891	A00001892	0		136
A00000354	3779318277688262656	A00001893	1.4	9.85	4.0	0.0	20.0	25.0	A00001894	A00001895	0		137
A00001896	3779318277696651264	A00001897	1.4	6.0	2.5	0.0	20.0	3242.0	A00001898	A00001899	0		138
A00000304	3779318277700845568		1.4	9.85	4.0	0.0	20.0	6.0	A00001900	A00001901	0		139
A00000778	3779318277709234176	A00001902	1.4	9.85	4.0	0.0	20.0	1531.0	A00001903	A00001904	0		140
A00001905	3779318277717622784	A00001906	1.4	9.85	4.0	0.0	20.0	995.0	A00001907	A00001908	0		141
A00000357	3779318277721817088		1.4	9.85	4.0	0.0	20.0	20.0	A00001909	A00001910	0		142
A00000308	3779318277730205696	A00001911	1.6	9.85	4.0	0.0	20.0	666.0	A00001912	A00001913	0		143
A00000064	3779318277738594304		1.4	9.85	4.0	0.0	20.0	534.0	A00001914	A00001915	0		144
A00000066	3779318277746982912		1.4	9.85	4.0	0.0	20.0	50.0	A00001916	A00001917	0		145
A00000076	3779318277751177216		1.4	9.85	4.0	0.0	20.0	43.0	A00001918	A00001919	0		146
A00000060	3779318277759565824		1.4	9.85	4.0	0.0	20.0	43.0	A00001920	A00001921	0		147
A00000062	3779318277763760128		1.4	9.85	4.0	0.0	20.0	43.0	A00001922	A00001923	0		148
A00001924	3779318277772148736		1.4	9.85	2.5	0.0	20.0	126.0	A00001925	A00001926	0		149
A00000068	3779318277776343040		1.4	9.85	2.5	0.0	20.0	126.0	A00001927	A00001928	0		150
A00001461	3779318277784731648	A00001929	1.4	7.5	2.5	0.0	20.0	450.0	A00001930	A00001931	0		151
A00000070	3779318277793120256		1.4	6.0	2.5	0.0	20.0	64.0	A00001932	A00001933	0		152
A00000041	3779318277797314560		1.4	6.0	2.5	0.0	20.0	59.0	A00001934	A00001935	0		153
A00000058	3779318277805703168		1.4	5.0	2.5	0.0	20.0	10.0	A00001936	A00001937	0		154
A00000074	3779318277809897472		1.4	5.0	2.5	0.0	20.0	10.0	A00001938	A00001939	0		155
A00000053	3779318277818286080		1.4	9.85	4.0	0.0	20.0	15.0	A00001940	A00001941	0		156
A00000055	3779318277822480384		1.4	9.85	4.0	0.0	20.0	20.0	A00001942	A00001943	0		157
A00000072	3779318277830868992		1.4	9.85	4.0	0.0	20.0	16.0	A00001944	A00001945	0		158
A00000326	3779318277835063296		1.4	9.85	4.0	0.0	20.0	5.0	A00001946	A00001947	0		159
A00000324	3779318277843451904		1.4	9.85	4.0	0.0	20.0	11.0	A00001948	A00001949	0		160
A00000375	3779318277847646208		1.4	9.85	4.0	0.0	20.0	6.0	A00001950	A00001951	0		161
A00001072	3779318277856034816		1.4	9.85	4.0	0.0	20.0	3.0	A00001952	A00001953	0		162
A00000310	3779318277868617728		1.4	9.85	4.0	0.0	20.0	13.0	A00001954	A00001955	0		163
A00000333	3779318277872812032		1.4	9.85	4.0	0.0	20.0	69.0	A00001956	A00001957	0		164
A00000337	3779318277881200640		1.4	9.85	4.0	0.0	20.0	42.0	A00001958	A00001959	0		165
A00000372	3779318277889589248		1.4	9.85	4.0	0.0	20.0	56.0	A00001960	A00001961	0		166
A00000335	3779318277893783552		1.4	9.85	4.0	0.0	20.0	42.0	A00001962	A00001963	0		167
A00001964	3779318277902172160		1.4	9.85	4.0	0.0	20.0	58.0	A00001965	A00001966	0		168
A00000698	3779318277906366464		1.4	9.85	4.0	0.0	20.0	59.0	A00001967	A00001968	0		169
A00000763	3779318277914755072		1.4	6.0	2.5	0.0	20.0	59.0	A00001969	A00001970	0		170
A00000033	3779318277918949376		1.4	9.85	4.0	0.0	20.0	38.0	A00001971	A00001972	0		171
A00000704	3779318277927337984		1.4	9.85	4.0	0.0	20.0	7.0	A00001973	A00001974	0		172
A00001975	3779318277935726592		1.4	9.85	4.0	0.0	20.0	15.0	A00001976	A00001977	0		173
A00000710	3779318277939920896		1.4	6.0	2.5	0.0	20.0	7.0	A00001978	A00001979	0		174
A00000765	3779318277948309504		1.4	6.0	1.0	0.0	20.0	50.0	A00001980	A00001981	0		175
A00000331	3779318277952503808	A00001982	1.4	9.85	4.0	0.0	20.0	29.0	A00001983	A00001984	0		176
A00000322	3779318277960892416		1.4	9.85	1.5	0.0	20.0	3.0	A00001985	A00001986	0		177
A00000380	3779318277965086720	A00001987	1.4	9.85	1.5	0.0	20.0	20.0	A00001988	A00001989	0		178
A00000701	3779318277973475328		1.4	9.85	4.0	0.0	20.0	50.0	A00001990	A00001991	0		179
A00000767	3779318277977669632	A00001992	1.4	9.85	4.0	0.0	20.0	7.0	A00001993	A00001994	0		180
A00000752	3779318277986058240		1.4	9.85	4.0	0.0	20.0	35.3	A00001995	A00001996	0		181
A00000712	3779318277994446848		1.4	9.85	4.0	0.0	20.0	30.0	A00001997	A00001998	0		182
A00000773	3779318278002835456		1.4	6.0	2.5	0.0	20.0	30.0	A00001999	A00002000	0		183
A00000706	3779318278007029760		1.4	9.85	4.0	0.0	20.0	8.0	A00002001	A00002002	0		184
A00000035	3779318278011224064		1.4	9.85	4.0	0.0	20.0	12.0	A00002003	A00002004	0		185
A00000708	3779318278019612672		1.4	9.85	4.0	0.0	20.0	26.0	A00002005	A00002006	0		186
A00000754	3779318278028001280		1.4	9.85	4.0	0.0	20.0	54.0	A00002007	A00002008	0		187
A00000756	3779318278032195584		1.4	9.85	4.0	0.0	20.0	113.0	A00002009	A00002010	0		188
A00000758	3779318278040584192		1.4	9.85	4.0	0.0	20.0	124.0	A00002011	A00002012	0		189
A00000761	3779318278044778496		1.4	9.85	4.0	0.0	20.0	124.0	A00002013	A00002014	0		190
A00000533	3779318278053167104		1.4	9.85	4.0	0.0	20.0	163.0	A00002015	A00002016	0		191
A00000535	3779318278057361408		1.4	9.85	4.0	0.0	20.0	176.0	A00002017	A00002018	0		192
A00000549	3779318278065750016		1.4	9.85	4.0	0.0	20.0	208.9	A00002019	A00002020	0		193
A00000543	3779318278069944320		1.4	6.0	2.5	0.0	20.0	210.0	A00002021	A00002022	0		194
A00000729	3779318278078332928		1.4	9.85	4.0	0.0	20.0	3.0	A00002023	A00002024	0		195
A00000750	3779318278082527232		1.4	9.85	4.0	0.0	20.0	3.0	A00002025	A00002026	0		196
A00001508	3779318278090915840		1.4	9.85	4.0	0.0	20.0	3.0	A00002027	A00002028	0		197
A00000547	3779318278095110144		1.4	6.0	2.5	0.0	20.0	209.0	A00002029	A00002030	0		198
A00000554	3779318278103498752		1.4	6.0	2.5	0.0	20.0	187.0	A00002031	A00002032	0		199
A00000545	3779318278111887360		1.4	6.0	2.5	0.0	20.0	188.0	A00002033	A00002034	0		200
A00001244	3779318278116081664		1.4	6.0	2.5	0.0	20.0	175.0	A00002035	A00002036	0		201
A00000537	3779318278124470272		1.4	6.0	2.5	0.0	20.0	163.0	A00002037	A00002038	0		202
A00000541	3779318278128664576		1.4	6.0	2.5	0.0	20.0	163.0	A00002039	A00002040	0		203
A00000552	3779318278137053184		1.4	9.85	4.0	0.0	20.0	163.0	A00002041	A00002042	0		204
A00000539	3779318278141247488		1.4	6.0	2.5	0.0	20.0	163.0	A00002043	A00002044	0		205
A00002045	3779318278149636096	A00002046	1.6	9.85	4.0	0.0	20.0	70.0	A00002047	A00002048	0		206
A00000720	3779318278153830400		1.4	9.85	4.0	0.0	20.0	157.0	A00002049	A00002050	0		207
A00000718	3779318278162219008		1.4	9.85	4.0	0.0	20.0	60.0	A00002051	A00002052	0		208
A00002053	3779318278170607616		1.4	6.0	2.5	0.0	20.0	61.0	A00002054	A00002055	0		209
A00000716	3779318278174801920		1.4	9.85	4.0	0.0	20.0	3.0	A00002056	A00002057	0		210
A00000723	3779318278183190528		1.4	9.85	4.0	0.0	20.0	52.0	A00002058	A00002059	0		211
A00000725	3779318278187384832		1.4	9.85	4.0	0.0	20.0	85.0	A00002060	A00002061	0		212
A00000727	3779318278195773440		1.4	9.85	4.0	0.0	20.0	27.0	A00002062	A00002063	0		213
A00000775	3779318278204162048		1.4	6.0	2.5	0.0	20.0	110.0	A00002064	A00002065	0		214
A00000741	3779318278212550656		1.4	9.85	4.0	0.0	20.0	15.0	A00002066	A00002067	0		215
A00000746	3779318278216744960		1.4	6.0	2.5	0.0	20.0	70.0	A00002068	A00002069	0		216
A00000743	3779318278225133568		1.4	9.85	4.0	0.0	20.0	15.0	A00002070	A00002071	0		217
A00000737	3779318278233522176		1.4	9.85	4.0	0.0	20.0	7.0	A00002072	A00002073	0		218
A00000733	3779318278241910784		1.4	9.85	4.0	0.0	20.0	10.0	A00002074	A00002075	0		219
A00000735	3779318278246105088		1.4	9.85	4.0	0.0	20.0	10.0	A00002076	A00002077	0		220
A00001063	3779318278254493696		1.4	5.0	2.5	0.0	20.0	2.0	A00002078	A00002079	0		221
A00001067	3779318278258688000		1.4	4.5	2.5	0.0	20.0	2.0	A00002080	A00002081	0		222
A00001076	3779318278267076608		1.4	4.5	2.5	0.0	20.0	2.0	A00002082	A00002083	0		223
A00000370	3779318278271270912		1.4	4.0	1.5	0.0	20.0	13.0	A00002084	A00002085	0		224
A00002086	3779318278279659520		1.4	4.0	1.5	0.0	20.0	12.0	A00002087	A00002088	0		225
A00000367	3779318278283853824		1.4	4.0	1.5	0.0	20.0	12.0	A00002089	A00002090	0		226
A00000955	3779318278292242432		1.4	4.0	1.5	0.0	20.0	28.0	A00002091	A00002092	0		227
A00002093	3779318278296436736		1.4	4.0	1.5	0.0	20.0	25.0	A00002094	A00002095	0		228
A00000364	3779318278304825344		1.4	4.0	1.5	0.0	20.0	25.0	A00002096	A00002097	0		229
A00000339	3779318278309019648		1.4	9.85	4.0	0.0	20.0	1.0	A00002098	A00002099	0		230
A00000345	3779318278317408256	A00002100	1.4	4.0	1.5	0.0	20.0	7.0	A00002101	A00002102	0		231
A00000951	3779318278321602560		1.4	4.0	1.5	0.0	20.0	33.0	A00002103	A00002104	0		232
A00000953	3779318278329991168		1.4	4.0	1.5	0.0	20.0	27.0	A00002105	A00002106	0		233
A00000949	3779318278338379776		1.4	4.0	1.5	0.0	20.0	37.0	A00002107	A00002108	0		234
A00002109	3779318278346768384		1.4	4.0	1.5	0.0	20.0	50.0	A00002110	A00002111	0		235
A00000349	3779318278355156992		1.4	4.0	1.5	0.0	20.0	9.0	A00002112	A00002113	0		236
A00000351	3779318278359351296		1.4	4.0	1.5	0.0	20.0	9.0	A00002114	A00002115	0		237
A00000859	3779318278367739904		1.4	4.0	1.5	0.0	20.0	9.0	A00002116	A00002117	0		238
A00002118	3779318278376128512		1.4	4.0	1.5	0.0	20.0	9.0	A00002119	A00002120	0		239
A00000860	3779318278380322816		1.4	4.0	1.5	0.0	20.0	9.0	A00002121	A00002122	0		240
A00000862	3779318278388711424		1.4	4.0	1.5	0.0	20.0	9.0	A00002123	A00002124	0		241
A00000864	3779318278392905728		1.4	4.0	1.5	0.0	20.0	17.0	A00002125	A00002126	0		242
A00000866	3779318278401294336		1.4	4.0	1.5	0.0	20.0	13.0	A00002127	A00002128	0		243
A00000869	3779318278405488640		1.4	4.0	1.5	0.0	20.0	12.0	A00002129	A00002130	0		244
A00000872	3779318278413877248		1.4	4.0	1.5	0.0	20.0	12.0	A00002131	A00002132	0		245
A00000875	3779318278422265856		1.4	4.0	1.5	0.0	20.0	12.0	A00002133	A00002134	0		246
A00000877	3779318278426460160		1.4	4.0	1.5	0.0	20.0	12.0	A00002135	A00002136	0		247
A00000958	3779318278434848768		1.4	4.0	1.5	0.0	20.0	26.0	A00002137	A00002138	0		248
A00002139	3779318278443237376		1.4	4.0	1.5	0.0	20.0	26.0	A00002140	A00002141	0		249
A00000937	3779318278447431680		1.4	6.0	2.5	0.0	20.0	50.0	A00002142	A00002143	0		250
A00000934	3779318278455820288		1.4	6.0	2.5	0.0	20.0	50.0	A00002144	A00002145	0		251
